R00924	PROPCOASYN-RXN
R00925	PROPIONATE--COA-LIGASE-RXN
R00927	METHYLACETOACETYLCOATHIOL-RXN
R00928	PROPIONATE-COA-TRANSFERASE-RXN
R00930	2.1.3.1-RXN
R00931	2-METHYLCITRATE-SYNTHASE-RXN
R00932	HYDGLUTSYN-RXN
R00934	RXN-8961
R00935	RXN-11213
R00939	DIHYDROFOLATEREDUCT-RXN
R00941	FORMYLTETRAHYDROFOLATE-DEHYDROGENASE-RXN
R00943	FORMATETHFLIG-RXN
R00944	FORMYLTHFDEFORMYL-RXN
R00945	GLYOHMETRANS-RXN
R00946	HOMOCYSMETB12-RXN
R00948	GLUC1PADENYLTRANS-RXN
R00949	PHOSPHOGLUCOKINASE-RXN
R00951	RXN-10770
R00952	CELLOBIOSE-PHOSPHORYLASE-RXN
R00953	LAMINARIBIOSE-PHOSPHORYLASE-RXN
R00954	2.7.7.34-RXN
R00955	GALACTURIDYLYLTRANS-RXN
R00956	2.7.7.33-RXN
